INFO  2019-12-19 12:37:26,670 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 896.7026ms 200 application/x-javascript; charset=utf-8
INFO  2019-12-19 12:37:26,701 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 POST http://localhost:62114/signalr/negotiate text/plain;charset=UTF-8 0
INFO  2019-12-19 12:37:26,739 [10   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint '/signalr/negotiate'
INFO  2019-12-19 12:37:26,792 [10   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint '/signalr/negotiate'
INFO  2019-12-19 12:37:26,812 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 117.9652ms 200 application/json
INFO  2019-12-19 12:37:27,126 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/signalr?id=pUwR_n8R_j8gzJbV4N-dOg  
INFO  2019-12-19 12:37:27,163 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint '/signalr'
DEBUG 2019-12-19 12:37:27,396 [5    ] Abp.AspNetCore.SignalR.Hubs.AbpCommonHub - A client is connected: {"ConnectionId":"pUwR_n8R_j8gzJbV4N-dOg","IpAddress":"::1","TenantId":null,"UserId":1,"ConnectTime":"2019-12-19T12:37:27.3674343+05:30","Properties":{}}
DEBUG 2019-12-19 12:37:27,431 [5    ] Abp.AspNetCore.SignalR.Hubs.AbpCommonHub - A client is registered: pUwR_n8R_j8gzJbV4N-dOg
DEBUG 2019-12-19 12:37:29,846 [10   ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
DEBUG 2019-12-19 12:37:34,863 [20   ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
DEBUG 2019-12-19 12:37:39,891 [10   ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
DEBUG 2019-12-19 12:37:44,911 [10   ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
INFO  2019-12-19 12:37:46,847 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/Order/CreateOrder  
INFO  2019-12-19 12:37:46,868 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Shopping_Card.Web.Controllers.OrderController.CreateOrder (Shopping_Card.Web.Mvc)'
INFO  2019-12-19 12:37:46,877 [4    ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "CreateOrder", controller = "Order", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult CreateOrder() on controller Shopping_Card.Web.Controllers.OrderController (Shopping_Card.Web.Mvc).
DEBUG 2019-12-19 12:37:49,190 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Customer, Id:1
DEBUG 2019-12-19 12:37:49,191 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Customer, Id:2
DEBUG 2019-12-19 12:37:49,191 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Product, Id:1
DEBUG 2019-12-19 12:37:49,191 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Product, Id:2
